,time,open,high,low,close,volume
2980,2025-01-01 01:00:00+00:00,192.54,192.64,191.46,191.66,30484.583
2981,2025-01-01 01:15:00+00:00,191.65,191.65,190.69,191.17,13917.022
2982,2025-01-01 01:30:00+00:00,191.16,191.63,190.97,191.21,9926.702
2983,2025-01-01 01:45:00+00:00,191.21,191.23,190.39,190.7,12200.819
2984,2025-01-01 02:00:00+00:00,190.7,191.26,190.62,191.24,19676.679
2985,2025-01-01 02:15:00+00:00,191.24,191.24,190.44,190.64,8360.449
2986,2025-01-01 02:30:00+00:00,190.65,191.35,190.6,191.31,9167.869
2987,2025-01-01 02:45:00+00:00,191.32,192.04,191.15,191.59,28609.35
2988,2025-01-01 03:00:00+00:00,191.59,191.59,191.03,191.15,8393.364
2989,2025-01-01 03:15:00+00:00,191.15,191.25,190.58,190.62,24092.706
2990,2025-01-01 03:30:00+00:00,190.61,190.73,190.38,190.53,18931.647
2991,2025-01-01 03:45:00+00:00,190.52,190.52,190.04,190.43,7110.325
2992,2025-01-01 04:00:00+00:00,190.42,190.43,189.68,190.11,11939.873
2993,2025-01-01 04:15:00+00:00,190.1,190.25,189.74,189.85,22634.64
2994,2025-01-01 04:30:00+00:00,189.85,189.87,189.32,189.75,23105.171
2995,2025-01-01 04:45:00+00:00,189.75,189.85,189.4,189.47,12842.684
2996,2025-01-01 05:00:00+00:00,189.48,190.36,189.35,190.11,10672.42
2997,2025-01-01 05:15:00+00:00,190.11,190.61,189.97,190.43,15850.958
2998,2025-01-01 05:30:00+00:00,190.42,190.62,190.0,190.38,10739.902
2999,2025-01-01 05:45:00+00:00,190.38,190.51,190.04,190.15,6863.237
3000,2025-01-01 06:00:00+00:00,190.15,190.31,189.59,189.64,9199.42
3001,2025-01-01 06:15:00+00:00,189.64,190.1,189.6,189.95,11007.129
3002,2025-01-01 06:30:00+00:00,189.95,190.17,189.4,190.17,9583.942
3003,2025-01-01 06:45:00+00:00,190.17,190.31,189.7,190.3,8173.383
3004,2025-01-01 07:00:00+00:00,190.29,190.35,189.8,189.91,12548.068
3005,2025-01-01 07:15:00+00:00,189.92,190.15,189.74,189.9,6292.694
3006,2025-01-01 07:30:00+00:00,189.9,190.22,189.7,190.22,20115.741
3007,2025-01-01 07:45:00+00:00,190.21,190.25,190.0,190.06,8800.876
3008,2025-01-01 08:00:00+00:00,190.06,190.74,190.01,190.6,10820.526
3009,2025-01-01 08:15:00+00:00,190.6,190.6,189.41,189.82,15299.629
3010,2025-01-01 08:30:00+00:00,189.81,190.08,189.59,189.92,10969.016
3011,2025-01-01 08:45:00+00:00,189.93,189.95,189.3,189.4,20116.918
3012,2025-01-01 09:00:00+00:00,189.4,189.76,188.76,188.94,31162.718
3013,2025-01-01 09:15:00+00:00,188.94,188.94,188.2,188.49,24975.498
3014,2025-01-01 09:30:00+00:00,188.5,188.97,188.0,188.49,23172.769
3015,2025-01-01 09:45:00+00:00,188.5,189.25,188.16,189.18,10978.844
3016,2025-01-01 10:00:00+00:00,189.19,189.79,189.17,189.74,22017.227
3017,2025-01-01 10:15:00+00:00,189.75,190.51,189.63,190.22,15457.944
3018,2025-01-01 10:30:00+00:00,190.23,190.83,190.14,190.7,20585.752
3019,2025-01-01 10:45:00+00:00,190.7,191.03,190.07,190.24,13933.884
3020,2025-01-01 11:00:00+00:00,190.25,190.76,189.89,190.55,10210.031
3021,2025-01-01 11:15:00+00:00,190.54,191.24,190.54,191.23,24122.825
3022,2025-01-01 11:30:00+00:00,191.24,191.8,190.95,191.68,17231.566
3023,2025-01-01 11:45:00+00:00,191.67,191.86,191.14,191.36,11505.795
3024,2025-01-01 12:00:00+00:00,191.35,191.72,190.72,190.82,15685.748
3025,2025-01-01 12:15:00+00:00,190.83,191.73,190.82,191.41,16585.13
3026,2025-01-01 12:30:00+00:00,191.41,191.75,191.19,191.22,22189.604
3027,2025-01-01 12:45:00+00:00,191.21,191.21,190.42,190.95,31051.149
3028,2025-01-01 13:00:00+00:00,190.94,191.29,189.9,190.25,22793.638
3029,2025-01-01 13:15:00+00:00,190.25,190.47,189.59,189.69,16844.506
3030,2025-01-01 13:30:00+00:00,189.68,190.19,189.66,189.96,21333.029
3031,2025-01-01 13:45:00+00:00,189.97,190.4,189.96,190.25,18193.442
3032,2025-01-01 14:00:00+00:00,190.24,191.48,190.16,190.95,24475.614
3033,2025-01-01 14:15:00+00:00,190.95,191.05,189.9,189.95,11929.427
3034,2025-01-01 14:30:00+00:00,189.95,190.34,189.14,190.14,19530.366
3035,2025-01-01 14:45:00+00:00,190.14,190.96,189.9,190.88,13023.237
3036,2025-01-01 15:00:00+00:00,190.88,191.18,189.98,190.2,20076.516
3037,2025-01-01 15:15:00+00:00,190.2,190.7,189.98,190.54,13514.159
3038,2025-01-01 15:30:00+00:00,190.53,191.52,190.33,191.51,10643.882
3039,2025-01-01 15:45:00+00:00,191.51,192.15,191.44,191.91,25709.512
3040,2025-01-01 16:00:00+00:00,191.91,192.25,191.06,191.17,17177.918
3041,2025-01-01 16:15:00+00:00,191.16,191.35,190.64,191.1,16944.425
